date,product_code,category,popularity,size,model,product_name,wholesale_price,base_cost,default_supplier,default_warehouse,production,sales,inventory
2023-01-01,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,137,107,30
2023-01-01,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,108,96,12
2023-01-01,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,175,145,30
2023-01-01,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,36,19,17
2023-01-01,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,70,55,15
2023-01-01,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,160,124,36
2023-01-01,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,145,114,31
2023-01-01,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,162,128,34
2023-01-01,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,174,128,46
2023-01-01,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,118,117,1
2023-01-02,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,136,108,43
2023-01-02,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,147,114,63
2023-01-02,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,208,144,87
2023-01-02,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,91,85,40
2023-01-02,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,64,47,18
2023-01-02,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,107,100,38
2023-01-02,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,150,110,58
2023-01-02,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,114,96,43
2023-01-02,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,171,140,61
2023-01-02,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,121,87,52
2023-01-02,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,40,40,11
2023-01-02,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,196,153,72
2023-01-02,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,139,130,35
2023-01-02,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,166,145,50
2023-01-02,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,140,118,52
2023-01-02,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,143,108,47
2023-01-02,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,174,168,36
2023-01-02,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,54,37,34
2023-01-02,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,156,117,54
2023-01-02,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,175,157,54
2023-01-02,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,120,96,55
2023-01-02,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,117,115,36
2023-01-02,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,110,97,59
2023-01-02,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,149,120,30
2023-01-03,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,169,145,67
2023-01-03,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,241,188,116
2023-01-03,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,158,117,128
2023-01-03,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,174,138,76
2023-01-03,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,35,30,23
2023-01-03,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,148,124,62
2023-01-03,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,96,72,82
2023-01-03,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,142,131,54
2023-01-03,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,168,151,78
2023-01-03,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,91,77,66
2023-01-03,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,60,38,33
2023-01-03,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,139,128,83
2023-01-03,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,168,149,54
2023-01-03,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,202,147,105
2023-01-03,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,119,101,70
2023-01-03,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,114,100,61
2023-01-03,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,95,66,65
2023-01-03,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,54,40,48
2023-01-03,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,133,110,77
2023-01-03,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,146,99,101
2023-01-03,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,135,100,90
2023-01-03,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,152,114,74
2023-01-03,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,90,77,72
2023-01-03,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,162,153,39
2023-01-04,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,186,156,97
2023-01-04,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,145,117,144
2023-01-04,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,89,75,142
2023-01-04,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,155,131,100
2023-01-04,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,42,25,40
2023-01-04,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,199,152,109
2023-01-04,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,155,130,107
2023-01-04,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,167,137,84
2023-01-04,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,104,80,102
2023-01-04,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,135,99,102
2023-01-04,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,47,41,39
2023-01-04,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,131,98,116
2023-01-04,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,52,34,72
2023-01-04,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,119,90,134
2023-01-04,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,196,143,123
2023-01-04,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,189,161,89
2023-01-04,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,184,155,94
2023-01-04,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,50,39,59
2023-01-04,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,143,128,92
2023-01-04,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,151,133,119
2023-01-04,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,156,145,101
2023-01-04,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,141,120,95
2023-01-04,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,115,88,99
2023-01-04,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,167,119,87
2023-01-05,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,158,141,114
2023-01-05,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,131,91,184
2023-01-05,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,132,109,165
2023-01-05,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,175,156,119
2023-01-05,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,53,34,59
2023-01-05,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,167,138,138
2023-01-05,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,198,151,154
2023-01-05,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,165,136,113
2023-01-05,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,155,125,132
2023-01-05,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,182,162,122
2023-01-05,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,43,40,42
2023-01-05,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,109,90,135
2023-01-05,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,132,87,117
2023-01-05,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,141,126,149
2023-01-05,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,161,143,141
2023-01-05,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,146,108,127
2023-01-05,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,156,143,107
2023-01-05,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,41,31,69
2023-01-05,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,139,130,101
2023-01-05,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,157,133,143
2023-01-05,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,179,156,124
2023-01-05,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,145,109,131
2023-01-05,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,168,117,150
2023-01-05,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,190,145,132
2023-01-06,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,176,120,170
2023-01-06,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,142,103,223
2023-01-06,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,181,144,202
2023-01-06,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,157,144,132
2023-01-06,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,43,43,59
2023-01-06,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,190,149,179
2023-01-06,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,140,108,186
2023-01-06,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,149,130,132
2023-01-06,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,116,87,161
2023-01-06,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,172,122,172
2023-01-06,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,50,46,46
2023-01-06,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,179,144,170
2023-01-06,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,150,111,156
2023-01-06,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,164,136,177
2023-01-06,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,186,168,159
2023-01-06,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,204,157,174
2023-01-06,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,215,157,165
2023-01-06,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,41,27,83
2023-01-06,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,180,164,117
2023-01-06,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,95,77,161
2023-01-06,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,201,152,173
2023-01-06,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,105,77,159
2023-01-06,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,146,119,177
2023-01-06,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,169,115,186
2023-01-07,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,154,104,220
2023-01-07,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,181,152,252
2023-01-07,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,160,135,227
2023-01-07,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,149,140,141
2023-01-07,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,25,10,74
2023-01-07,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,122,102,199
2023-01-07,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,199,160,225
2023-01-07,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,156,132,156
2023-01-07,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,130,99,192
2023-01-07,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,190,168,194
2023-01-07,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,36,36,46
2023-01-07,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,166,123,213
2023-01-07,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,159,122,193
2023-01-07,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,127,98,206
2023-01-07,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,155,107,207
2023-01-07,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,184,139,219
2023-01-07,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,194,187,172
2023-01-07,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,58,38,103
2023-01-07,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,98,98,117
2023-01-07,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,193,169,185
2023-01-07,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,175,159,189
2023-01-07,Mi650022,Mini-LED,热门款,65寸,Mini-LED-65,Mini-LED 65寸 智能电视,6515.64,5000.0,富士康,物料仓-B,146,125,180
2023-01-07,Mi750023,Mini-LED,热门款,75寸,Mini-LED-75,Mini-LED 75寸 智能电视,8491.86,6250.0,华星光电,物料仓-A,186,146,217
2023-01-07,Mi850024,Mini-LED,热门款,85寸,Mini-LED-85,Mini-LED 85寸 智能电视,10843.51,7500.0,富士康,物料仓-A,145,131,200
2023-01-08,LC430001,LCD,热门款,43寸,LCD-43,LCD 43寸 智能电视,1374.91,1000.0,三星显示,物料仓-A,87,73,234
2023-01-08,LC500002,LCD,热门款,50寸,LCD-50,LCD 50寸 智能电视,1703.68,1200.0,京东方,物料仓-A,147,105,294
2023-01-08,LC550003,LCD,热门款,55寸,LCD-55,LCD 55寸 智能电视,2087.77,1500.0,三星显示,物料仓-B,116,99,244
2023-01-08,LC650004,LCD,热门款,65寸,LCD-65,LCD 65寸 智能电视,2860.36,2000.0,三星显示,成品仓-B,164,145,160
2023-01-08,LC750005,LCD,冷门款,75寸,LCD-75,LCD 75寸 智能电视,3719.28,2500.0,京东方,物料仓-B,56,48,82
2023-01-08,LC850006,LCD,热门款,85寸,LCD-85,LCD 85寸 智能电视,4270.49,3000.0,京东方,成品仓-B,134,94,239
2023-01-08,OL430007,OLED,热门款,43寸,OLED-43,OLED 43寸 智能电视,2609.22,2000.0,华星光电,物料仓-A,106,71,260
2023-01-08,OL500008,OLED,热门款,50寸,OLED-50,OLED 50寸 智能电视,3142.4,2400.0,LG Display,物料仓-B,144,113,187
2023-01-08,OL550009,OLED,热门款,55寸,OLED-55,OLED 55寸 智能电视,3954.36,3000.0,华星光电,物料仓-B,148,125,215
2023-01-08,OL650010,OLED,热门款,65寸,OLED-65,OLED 65寸 智能电视,5673.93,4000.0,华星光电,成品仓-A,122,113,203
2023-01-08,OL750011,OLED,冷门款,75寸,OLED-75,OLED 75寸 智能电视,6670.52,5000.0,京东方,物料仓-B,48,27,67
2023-01-08,OL850012,OLED,热门款,85寸,OLED-85,OLED 85寸 智能电视,8475.95,6000.0,京东方,成品仓-A,143,100,256
2023-01-08,QL430013,QLED,热门款,43寸,QLED-43,QLED 43寸 智能电视,2423.12,1800.0,LG Display,物料仓-A,133,116,210
2023-01-08,QL500014,QLED,热门款,50寸,QLED-50,QLED 50寸 智能电视,3071.52,2160.0,华星光电,成品仓-B,113,94,225
2023-01-08,QL550015,QLED,热门款,55寸,QLED-55,QLED 55寸 智能电视,3608.41,2700.0,LG Display,成品仓-B,175,163,219
2023-01-08,QL650016,QLED,热门款,65寸,QLED-65,QLED 65寸 智能电视,4829.72,3600.0,LG Display,成品仓-B,120,99,240
2023-01-08,QL750017,QLED,热门款,75寸,QLED-75,QLED 75寸 智能电视,6608.06,4500.0,LG Display,成品仓-B,146,110,208
2023-01-08,QL850018,QLED,冷门款,85寸,QLED-85,QLED 85寸 智能电视,8020.79,5400.0,LG Display,成品仓-A,40,25,118
2023-01-08,Mi430019,Mini-LED,热门款,43寸,Mini-LED-43,Mini-LED 43寸 智能电视,3672.27,2500.0,三星显示,成品仓-B,185,141,161
2023-01-08,Mi500020,Mini-LED,热门款,50寸,Mini-LED-50,Mini-LED 50寸 智能电视,4252.05,3000.0,富士康,物料仓-B,156,134,207
2023-01-08,Mi550021,Mini-LED,热门款,55寸,Mini-LED-55,Mini-LED 55寸 智能电视,5082.0,3750.0,三星显示,物料仓-A,181,150,220
